Date,Time,Island,Price,day_of_week,week,year
2020-04-05,NA,tranquillo,99,Sun,15,2020
2020-04-06,AM,tranquillo,136,Mon,15,2020
2020-04-06,PM,tranquillo,99,Mon,15,2020
2020-04-07,AM,tranquillo,98,Tue,15,2020
2020-04-07,PM,tranquillo,63,Tue,15,2020
2020-04-08,AM,tranquillo,56,Wed,15,2020
2020-04-05,NA,cucumber,105,Sun,15,2020
2020-04-06,AM,cucumber,65,Mon,15,2020
2020-04-06,PM,cucumber,35,Mon,15,2020
2020-04-07,AM,cucumber,116,Tue,15,2020
2020-04-07,PM,cucumber,149,Tue,15,2020
2020-04-08,AM,cucumber,150,Wed,15,2020
2020-04-08,AM,12358W,71,Wed,15,2020
2020-04-08,PM,tranquillo,95,Wed,15,2020
2020-04-08,PM,12358W,67,Wed,15,2020
2020-04-08,PM,cucumber,148,Wed,15,2020
2020-04-08,PM,usufruct,54,Wed,15,2020
2020-04-08,PM,Imladris,33,Wed,15,2020
2020-04-09,AM,Imladris,29,Thu,15,2020
2020-04-09,AM,tranquillo,75,Thu,15,2020
2020-04-09,PM,12358W,63,Thu,15,2020
2020-04-09,PM,tranquillo,67,Thu,15,2020
2020-04-09,PM,Imladris,138,Thu,15,2020
